FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q1,All Health Authorities,All Facilities,Fracture Repair,185,532,0.4,5.8
2021/22,Q1,All Health Authorities,All Facilities,Free Flap Graft,26,36,2.6,9.5
2021/22,Q1,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,26,26,1.7,16.3
2021/22,Q1,All Health Authorities,All Facilities,Hand/Wrist Surgery,799,601,6.7,27.1
2021/22,Q1,All Health Authorities,All Facilities,Hernia Repair - Abdominal,3907,3146,6.0,23.3
2021/22,Q1,All Health Authorities,All Facilities,Hernia Repair - Hiatal,215,79,7.9,16.7
2021/22,Q1,All Health Authorities,All Facilities,Hip Replacement,3665,1885,14.0,40.3
2021/22,Q1,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,572,630,4.9,13.7
2021/22,Q1,All Health Authorities,All Facilities,Knee - ACL Repair,597,497,5.7,25.2
2021/22,Q1,All Health Authorities,All Facilities,Knee - Meniscectomy,408,508,7.3,23.5
2021/22,Q1,All Health Authorities,All Facilities,Knee Arthroscopy,902,691,5.1,30.9
2021/22,Q1,All Health Authorities,All Facilities,Knee Replacement,6922,2469,16.7,46.9
2021/22,Q1,All Health Authorities,All Facilities,Laparoscopy,254,220,5.7,23.0
2021/22,Q1,All Health Authorities,All Facilities,Laparotomy,53,100,3.0,9.8
2021/22,Q1,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,1058,1138,4.1,30.1
2021/22,Q1,All Health Authorities,All Facilities,Ligament Surgery,114,83,3.0,14.5
2021/22,Q1,All Health Authorities,All Facilities,Lipectomy,61,18,4.9,36.8
2021/22,Q1,All Health Authorities,All Facilities,Lung Surgery,64,191,2.0,5.6
2021/22,Q1,All Health Authorities,All Facilities,Male Reproductive Surgery,862,631,7.6,26.7
2021/22,Q1,All Health Authorities,All Facilities,Mastectomy,397,1232,2.7,6.4
2021/22,Q1,All Health Authorities,All Facilities,Mastoidectomy,133,72,9.2,67.5
2021/22,Q1,All Health Authorities,All Facilities,Myringotomy,187,142,4.4,15.1
2021/22,Q1,All Health Authorities,All Facilities,Nasal Surgery,2510,940,12.9,47.9
2021/22,Q1,All Health Authorities,All Facilities,Nerve Surgery,464,283,5.1,48.8
2021/22,Q1,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,158,101,7.7,29.3
2021/22,Q1,All Health Authorities,All Facilities,Other Ear Surgery,162,68,8.4,48.2
2021/22,Q1,All Health Authorities,All Facilities,Other Eye Surgery,1781,1613,4.9,21.9
2021/22,Q1,All Health Authorities,All Facilities,Other Joint Reconstruction,1101,597,9.6,44.0
2021/22,Q1,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2078,1659,5.7,28.6
2021/22,Q1,All Health Authorities,All Facilities,Other Urology Surgery,1273,1883,3.9,15.0
2021/22,Q1,All Health Authorities,All Facilities,Parotidectomy,171,113,8.1,35.5
2021/22,Q1,All Health Authorities,All Facilities,Prostate Surgery,1594,1342,5.0,20.0
2021/22,Q1,All Health Authorities,All Facilities,Rectal Surgery,672,511,6.0,25.7
2021/22,Q1,All Health Authorities,All Facilities,Rib Resection,<5,<5,,
2021/22,Q1,All Health Authorities,All Facilities,Scope of Chest,66,151,3.0,6.9
2021/22,Q1,All Health Authorities,All Facilities,Shoulder Surgery,1723,1006,9.7,33.9
2021/22,Q1,All Health Authorities,All Facilities,Shunt Insertion/Removal,<5,14,3.7,11.9
2021/22,Q1,All Health Authorities,All Facilities,Sinus Surgery,1294,495,14.4,44.3
2021/22,Q1,All Health Authorities,All Facilities,Skin Surgery,416,230,6.9,35.7
2021/22,Q1,All Health Authorities,All Facilities,Skin Tumour Removal,749,958,3.3,15.6
2021/22,Q1,All Health Authorities,All Facilities,Sphincterotomy,44,28,5.1,18.9
2021/22,Q1,All Health Authorities,All Facilities,Spinal/Back Surgery,1831,993,6.7,45.2
2021/22,Q1,All Health Authorities,All Facilities,Tendon Surgery,234,260,3.0,21.0
2021/22,Q1,All Health Authorities,All Facilities,Thoracotomy,25,43,2.0,6.1
2021/22,Q1,All Health Authorities,All Facilities,Thyroidectomy,414,312,5.3,20.1
2021/22,Q1,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1094,603,11.3,39.5
2021/22,Q1,All Health Authorities,All Facilities,Tympanoplasty,614,175,11.9,76.8
2021/22,Q1,All Health Authorities,All Facilities,Uterine Surgery,4093,3682,6.0,27.9
2021/22,Q1,All Health Authorities,All Facilities,Vaginal Repair,640,340,7.2,31.9
2021/22,Q1,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1248,374,14.4,85.0
2021/22,Q1,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,60,150,2.0,10.0
2021/22,Q1,All Health Authorities,All Facilities,Vascular Surgery - Other,230,386,2.1,13.0
2021/22,Q1,All Health Authorities,All Facilities,Wound/Laceration Care,234,310,2.0,14.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Abdominoplasty,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Other Procedures,15,12,3.2,5.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,2415,1241,8.0,40.6
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Aortic Aneurysm Repair,8,17,4.4,9.7
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Appendectomy,<5,0,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Biopsy in OR,6,7,2.6,26.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bladder Surgery,67,48,4.5,34.3
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bowel Resection,12,11,2.7,5.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Biopsy,18,34,3.0,7.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reconstruction,24,17,3.6,15.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reduction,144,34,26.5,80.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cholecystectomy,75,67,5.9,14.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Colostomy/Ileostomy,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cone Biopsy,<5,5,4.3,6.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,D&C and Related Surgery,44,43,15.4,49.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Dental Surgery,83,49,8.6,29.7
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Endarterectomy,11,31,1.7,11.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Examination Under Anaesthetic,14,9,4.1,15.3
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Gynecomastia,<5,0,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Lesion/Tumour,43,11,3.9,52.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Facial Bone Reconstruction,8,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fallopian Tube/Ovarian Surgery,116,37,16.4,42.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fistula Repair - Non Vascular,10,0,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Foot/Ankle Surgery,47,22,27.3,37.2
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fracture Repair,<5,20,1.1,11.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hand/Wrist Surgery,12,7,4.0,23.8
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Abdominal,173,99,14.0,31.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Hiatal,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hip Replacement,43,22,14.0,39.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Kidney/Bladder Stone Removal,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - ACL Repair,<5,0,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - Meniscectomy,9,6,6.9,13.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Replacement,131,45,34.0,61.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Laparoscopy,14,9,26.1,35.7
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Ligament Surgery,12,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Male Reproductive Surgery,47,24,18.5,42.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Mastectomy,9,35,2.6,4.8
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Mastoidectomy,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Myringotomy,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nasal Surgery,39,24,5.4,27.7
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nerve Surgery,5,6,3.1,31.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Oral Cavity & Pharynx Surgery,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Ear Surgery,<5,0,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Eye Surgery,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Joint Reconstruction,37,14,27.9,40.2
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Orthopaedic Surgery,56,18,13.1,58.7
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Urology Surgery,48,45,3.0,10.3
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Parotidectomy,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Prostate Surgery,74,51,17.0,25.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Rectal Surgery,24,8,24.6,57.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Shoulder Surgery,64,21,27.0,33.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sinus Surgery,11,10,8.1,14.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Surgery,9,5,2.4,16.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Tumour Removal,22,17,19.7,62.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sphincterotomy,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tendon Surgery,5,10,16.6,28.4
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Thyroidectomy,<5,17,3.9,7.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tonsillectomy/Adenoidectomy,14,15,9.1,28.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tympanoplasty,<5,<5,,
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Uterine Surgery,241,148,26.0,67.9
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vaginal Repair,36,7,33.6,42.5
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Varicose Veins Ligation/Stripping,436,23,90.0,143.3
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Bypass Graft - Non Cardiac,8,22,1.3,5.1
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Surgery - Other,18,14,6.2,13.0
2021/22,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Wound/Laceration Care,26,12,3.8,19.9
2021/22,Q1,Fraser,All Facilities,Abdominoplasty,38,8,24.0,91.1
2021/22,Q1,Fraser,All Facilities,All Other Procedures,367,327,4.7,27.9
2021/22,Q1,Fraser,All Facilities,All Procedures,25444,17516,5.9,31.4
2021/22,Q1,Fraser,All Facilities,Aortic Aneurysm Repair,18,35,4.4,9.5
2021/22,Q1,Fraser,All Facilities,Appendectomy,25,30,3.0,8.8
2021/22,Q1,Fraser,All Facilities,Bariatric Surgery,10,6,2.5,12.4
2021/22,Q1,Fraser,All Facilities,Biopsy in OR,21,73,2.0,7.3
2021/22,Q1,Fraser,All Facilities,Bladder Surgery,286,462,3.7,10.7
2021/22,Q1,Fraser,All Facilities,Bowel Resection,82,180,2.6,7.9
2021/22,Q1,Fraser,All Facilities,Breast Biopsy,53,184,2.1,5.9
2021/22,Q1,Fraser,All Facilities,Breast Reconstruction,223,102,11.4,44.1
2021/22,Q1,Fraser,All Facilities,Breast Reduction,752,216,19.1,62.7
2021/22,Q1,Fraser,All Facilities,CSF Drainage,<5,<5,,
2021/22,Q1,Fraser,All Facilities,Cataract Surgery,7904,5523,7.1,34.9
2021/22,Q1,Fraser,All Facilities,Cholecystectomy,457,597,4.1,11.8
2021/22,Q1,Fraser,All Facilities,Colostomy/Ileostomy,27,29,4.1,11.8
2021/22,Q1,Fraser,All Facilities,Cone Biopsy,10,20,4.3,6.9
2021/22,Q1,Fraser,All Facilities,Cranial Surgery,6,36,1.1,3.4
2021/22,Q1,Fraser,All Facilities,Cyst/Ganglion Removal,30,19,4.0,24.1
2021/22,Q1,Fraser,All Facilities,D&C and Related Surgery,550,486,4.7,27.9
2021/22,Q1,Fraser,All Facilities,Dental Surgery,448,241,8.7,21.1
2021/22,Q1,Fraser,All Facilities,Endarterectomy,16,41,1.9,12.6
2021/22,Q1,Fraser,All Facilities,Esophagectomy,5,11,1.4,2.9
2021/22,Q1,Fraser,All Facilities,Examination Under Anaesthetic,104,123,5.4,24.6
2021/22,Q1,Fraser,All Facilities,Excision Gynecomastia,35,15,5.0,61.2
2021/22,Q1,Fraser,All Facilities,Excision Lesion/Tumour,122,152,3.0,17.9
2021/22,Q1,Fraser,All Facilities,Facial Bone Reconstruction,86,42,6.2,22.2
2021/22,Q1,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,510,244,6.9,33.7
2021/22,Q1,Fraser,All Facilities,Fistula Repair - Non Vascular,50,40,5.1,12.7
2021/22,Q1,Fraser,All Facilities,Foot/Ankle Surgery,104,54,15.1,34.3
2021/22,Q1,Fraser,All Facilities,Foreign Body Removal Surgery,<5,12,1.5,4.9
2021/22,Q1,Fraser,All Facilities,Fracture Repair,35,123,0.7,5.1
2021/22,Q1,Fraser,All Facilities,Free Flap Graft,<5,<5,,
2021/22,Q1,Fraser,All Facilities,Gastrostomy/Jejunostomy,<5,<5,,
2021/22,Q1,Fraser,All Facilities,Hand/Wrist Surgery,191,122,7.6,30.3
2021/22,Q1,Fraser,All Facilities,Hernia Repair - Abdominal,998,1035,4.9,18.8
2021/22,Q1,Fraser,All Facilities,Hernia Repair - Hiatal,98,17,5.6,47.7
2021/22,Q1,Fraser,All Facilities,Hip Replacement,666,310,11.4,34.2
2021/22,Q1,Fraser,All Facilities,Kidney/Bladder Stone Removal,153,149,8.1,12.2
2021/22,Q1,Fraser,All Facilities,Knee - ACL Repair,162,113,5.3,35.5
2021/22,Q1,Fraser,All Facilities,Knee - Meniscectomy,157,102,9.0,35.5
2021/22,Q1,Fraser,All Facilities,Knee Arthroscopy,246,114,4.9,29.8
2021/22,Q1,Fraser,All Facilities,Knee Replacement,1895,603,17.6,54.0
2021/22,Q1,Fraser,All Facilities,Laparoscopy,73,60,5.7,29.9
2021/22,Q1,Fraser,All Facilities,Laparotomy,17,24,4.1,10.6
2021/22,Q1,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,422,257,8.7,33.1
2021/22,Q1,Fraser,All Facilities,Ligament Surgery,32,33,1.9,11.5
2021/22,Q1,Fraser,All Facilities,Lipectomy,5,<5,,
2021/22,Q1,Fraser,All Facilities,Lung Surgery,14,53,1.6,3.7
2021/22,Q1,Fraser,All Facilities,Male Reproductive Surgery,162,124,5.4,24.1
2021/22,Q1,Fraser,All Facilities,Mastectomy,84,277,2.3,6.5
2021/22,Q1,Fraser,All Facilities,Mastoidectomy,32,10,10.6,100.0
2021/22,Q1,Fraser,All Facilities,Myringotomy,101,26,2.9,10.6
2021/22,Q1,Fraser,All Facilities,Nasal Surgery,905,278,18.1,44.6
2021/22,Q1,Fraser,All Facilities,Nerve Surgery,37,37,2.1,16.6
2021/22,Q1,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,21,9,5.7,8.5
2021/22,Q1,Fraser,All Facilities,Other Ear Surgery,40,9,20.9,66.7
2021/22,Q1,Fraser,All Facilities,Other Eye Surgery,286,223,4.1,23.7
2021/22,Q1,Fraser,All Facilities,Other Joint Reconstruction,198,135,8.0,27.3
2021/22,Q1,Fraser,All Facilities,Other Orthopaedic Surgery,455,254,5.8,33.7
2021/22,Q1,Fraser,All Facilities,Other Urology Surgery,300,461,3.6,12.1
2021/22,Q1,Fraser,All Facilities,Parotidectomy,38,39,6.7,32.1
2021/22,Q1,Fraser,All Facilities,Prostate Surgery,380,373,5.0,21.9
2021/22,Q1,Fraser,All Facilities,Rectal Surgery,170,175,4.7,16.7
2021/22,Q1,Fraser,All Facilities,Scope of Chest,6,16,1.4,3.4
2021/22,Q1,Fraser,All Facilities,Shoulder Surgery,518,245,9.1,37.6
2021/22,Q1,Fraser,All Facilities,Sinus Surgery,466,133,19.0,53.8
2021/22,Q1,Fraser,All Facilities,Skin Surgery,108,36,7.4,50.5
2021/22,Q1,Fraser,All Facilities,Skin Tumour Removal,219,287,3.3,16.1
2021/22,Q1,Fraser,All Facilities,Sphincterotomy,17,10,5.6,8.6
2021/22,Q1,Fraser,All Facilities,Spinal/Back Surgery,300,118,3.9,22.5
2021/22,Q1,Fraser,All Facilities,Tendon Surgery,40,61,2.0,19.1
2021/22,Q1,Fraser,All Facilities,Thoracotomy,<5,5,1.6,2.3
2021/22,Q1,Fraser,All Facilities,Thyroidectomy,101,92,3.3,15.8
2021/22,Q1,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,406,175,12.9,37.0
2021/22,Q1,Fraser,All Facilities,Tympanoplasty,277,47,23.4,84.0
2021/22,Q1,Fraser,All Facilities,Uterine Surgery,1289,1033,9.6,43.8
2021/22,Q1,Fraser,All Facilities,Vaginal Repair,264,114,11.1,46.6
2021/22,Q1,Fraser,All Facilities,Varicose Veins Ligation/Stripping,546,93,19.7,99.5
2021/22,Q1,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,11,32,1.7,7.3
2021/22,Q1,Fraser,All Facilities,Vascular Surgery - Other,48,50,2.7,13.1
2021/22,Q1,Fraser,All Facilities,Wound/Laceration Care,106,107,2.7,14.8
2021/22,Q1,Fraser,Burnaby Hospital,Abdominoplasty,9,0,,
2021/22,Q1,Fraser,Burnaby Hospital,All Other Procedures,79,42,6.2,18.2
2021/22,Q1,Fraser,Burnaby Hospital,All Procedures,3713,2010,7.9,40.4
2021/22,Q1,Fraser,Burnaby Hospital,Appendectomy,<5,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Bariatric Surgery,8,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Biopsy in OR,<5,7,1.4,7.7
2021/22,Q1,Fraser,Burnaby Hospital,Bladder Surgery,24,54,3.9,7.2
2021/22,Q1,Fraser,Burnaby Hospital,Bowel Resection,<5,17,1.7,6.0
2021/22,Q1,Fraser,Burnaby Hospital,Breast Reconstruction,35,6,15.5,30.5
2021/22,Q1,Fraser,Burnaby Hospital,Breast Reduction,134,14,36.9,86.1
2021/22,Q1,Fraser,Burnaby Hospital,Cataract Surgery,1352,817,10.9,58.1
2021/22,Q1,Fraser,Burnaby Hospital,Cholecystectomy,59,29,8.6,28.0
2021/22,Q1,Fraser,Burnaby Hospital,Colostomy/Ileostomy,<5,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,7,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,D&C and Related Surgery,84,37,3.1,12.9
2021/22,Q1,Fraser,Burnaby Hospital,Examination Under Anaesthetic,<5,6,3.2,11.3
2021/22,Q1,Fraser,Burnaby Hospital,Excision Gynecomastia,9,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Excision Lesion/Tumour,<5,11,1.7,30.7
2021/22,Q1,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,47,22,4.4,17.0
2021/22,Q1,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,19,9,7.0,13.9
2021/22,Q1,Fraser,Burnaby Hospital,Foot/Ankle Surgery,5,6,5.5,10.3
2021/22,Q1,Fraser,Burnaby Hospital,Foreign Body Removal Surgery,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Fracture Repair,<5,11,0.3,1.0
2021/22,Q1,Fraser,Burnaby Hospital,Hand/Wrist Surgery,79,38,18.1,30.6
2021/22,Q1,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,100,69,4.9,20.1
2021/22,Q1,Fraser,Burnaby Hospital,Hernia Repair - Hiatal,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Hip Replacement,88,81,6.3,19.1
2021/22,Q1,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,7,9,4.4,20.2
2021/22,Q1,Fraser,Burnaby Hospital,Knee - ACL Repair,14,7,15.0,35.1
2021/22,Q1,Fraser,Burnaby Hospital,Knee Arthroscopy,27,18,10.4,30.4
2021/22,Q1,Fraser,Burnaby Hospital,Knee Replacement,189,102,8.5,21.1
2021/22,Q1,Fraser,Burnaby Hospital,Laparoscopy,7,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Laparotomy,<5,5,1.9,7.7
2021/22,Q1,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,13,9,3.7,18.1
2021/22,Q1,Fraser,Burnaby Hospital,Ligament Surgery,<5,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Male Reproductive Surgery,8,6,4.4,15.7
2021/22,Q1,Fraser,Burnaby Hospital,Mastectomy,<5,6,1.4,1.6
2021/22,Q1,Fraser,Burnaby Hospital,Myringotomy,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Nasal Surgery,373,68,23.6,54.4
2021/22,Q1,Fraser,Burnaby Hospital,Nerve Surgery,7,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Oral Cavity & Pharynx Surgery,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Other Ear Surgery,<5,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Other Eye Surgery,81,46,6.1,20.5
2021/22,Q1,Fraser,Burnaby Hospital,Other Joint Reconstruction,11,5,15.1,39.4
2021/22,Q1,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,33,20,6.7,14.2
2021/22,Q1,Fraser,Burnaby Hospital,Other Urology Surgery,29,71,2.7,6.1
2021/22,Q1,Fraser,Burnaby Hospital,Parotidectomy,<5,9,1.3,18.9
2021/22,Q1,Fraser,Burnaby Hospital,Prostate Surgery,120,73,5.1,25.3
2021/22,Q1,Fraser,Burnaby Hospital,Rectal Surgery,20,22,6.9,9.0
2021/22,Q1,Fraser,Burnaby Hospital,Shoulder Surgery,58,44,7.3,17.7
2021/22,Q1,Fraser,Burnaby Hospital,Sinus Surgery,290,57,18.0,72.1
2021/22,Q1,Fraser,Burnaby Hospital,Skin Surgery,34,<5,,
2021/22,Q1,Fraser,Burnaby Hospital,Skin Tumour Removal,24,9,7.1,20.0
2021/22,Q1,Fraser,Burnaby Hospital,Sphincterotomy,<5,0,,
2021/22,Q1,Fraser,Burnaby Hospital,Tendon Surgery,<5,7,4.0,13.0
2021/22,Q1,Fraser,Burnaby Hospital,Thyroidectomy,5,14,1.8,3.3
2021/22,Q1,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,87,14,15.1,54.0
2021/22,Q1,Fraser,Burnaby Hospital,Tympanoplasty,20,6,19.8,34.9
